Genre,Nombre de Stations
pop,4837
music,3726
rock,2561
news,2437
classical,1507
dance,1212
hits,1206
oldies,1123
méxico,1098
80s,1002
jazz,982
public radio,897
pop music,881
latinoamérica,822
top 40,817
adult contemporary,788
classic hits,766
electronic,755
classic rock,752
community radio,731
pop rock,613
country,610
local news,586
house,584
folk,506
information,494
70s,484
metal,372
local radio,371
easy listening,351
soul,341
chillout,336
techno,322
disco,279
culture,269
ambient,268
gospel,265
blues,262
alternative rock,258
lounge,256
00s,255
top hits,255
funk,253
mexican music,253
rap,253
entertainment,247
latino,236
electro,232
60s,225
smooth jazz,225
trance,225
latin pop,223
hot adult contemporary,209
hard rock,199
reggae,189
deep house,180
tropical,176
christmas music,174
college radio,174
80s,169
charts,168
instrumental,161
contemporary hits,157
heavy metal,154
international,153
classic,143
soft rock,131
hip hop,129
adult hits,128
club,121
classics,119
iheart,117
progressive rock,117
90s,113
10s,111
eurodance,111
